"","version","Function_Call","Elapsed_Time_sec","Total_RAM_Used_MiB","Peak_RAM_Used_MiB","replicate","subset_size"
"2000.8...134","subsetByColData","leduc<-filterCol(leduc)",3.87300000000005,-5.19999999999999,66.3,3,2000
"2000.9...135","subsetByColData","aggregatePSM(leduc)",133.885,132.7,184.4,3,2000
"4000.1...136","subsetByColData","leduc<-filterRow(leduc)",10.1030000000001,160.5,203,1,4000
"4000.2...137","subsetByColData","leduc<-filterCol(leduc)",7.88599999999997,-10.2,113,1,4000
"4000.3...138","subsetByColData","aggregatePSM(leduc)",450.276,261.9,317.2,1,4000
"4000.4...139","subsetByColData","leduc<-filterRow(leduc)",10.0700000000002,160.5,203.1,2,4000
"4000.5...140","subsetByColData","leduc<-filterCol(leduc)",7.85999999999967,-10.2,113,2,4000
"4000.6...141","subsetByColData","aggregatePSM(leduc)",448.294,261.9,316.5,2,4000
"4000.7...142","subsetByColData","leduc<-filterRow(leduc)",10.1000000000004,160.4,203,3,4000
"4000.8...143","subsetByColData","leduc<-filterCol(leduc)",7.85000000000036,-10.2,113,3,4000
"4000.9...144","subsetByColData","aggregatePSM(leduc)",451.175,261.9,317.9,3,4000
