"","version","Function_Call","Elapsed_Time_sec","Total_RAM_Used_MiB","Peak_RAM_Used_MiB","replicate","subset_size"
"2000.8...98","base","leduc<-filterCol(leduc)",109.108,-5.19999999999982,66.2,3,2000
"2000.9...99","base","aggregatePSM(leduc)",414.469,316.5,401.7,3,2000
"4000.1...100","base","leduc<-filterRow(leduc)",11.0389999999998,754.7,790.5,1,4000
"4000.2...101","base","leduc<-filterCol(leduc)",431.757,-10.5,115.9,1,4000
"4000.3...102","base","aggregatePSM(leduc)",1012.632,632.3,726.6,1,4000
"4000.4...103","base","leduc<-filterRow(leduc)",11.2030000000004,754.7,790.5,2,4000
"4000.5...104","base","leduc<-filterCol(leduc)",433.822,-10.5,115.2,2,4000
"4000.6...105","base","aggregatePSM(leduc)",1006.499,632.3,712.5,2,4000
"4000.7...106","base","leduc<-filterRow(leduc)",11.0860000000002,754.7,790.5,3,4000
"4000.8...107","base","leduc<-filterCol(leduc)",433.554,-10.5,115.3,3,4000
"4000.9...108","base","aggregatePSM(leduc)",1012.971,632.3,720.6,3,4000
"500.1...109","subsetByColData","leduc<-filterRow(leduc)",1.3,88.9,131.3,1,500
"500.2...110","subsetByColData","leduc<-filterCol(leduc)",0.916000000000011,-1.10000000000002,35.9,1,500
"500.3...111","subsetByColData","aggregatePSM(leduc)",80.398,79.5,157.1,1,500
"500.4...112","subsetByColData","leduc<-filterRow(leduc)",1.29300000000001,88.7,129.3,2,500
"500.5...113","subsetByColData","leduc<-filterCol(leduc)",0.894999999999982,-1.19999999999999,30,2,500
"500.6...114","subsetByColData","aggregatePSM(leduc)",79.038,79.4,155,2,500
"500.7...115","subsetByColData","leduc<-filterRow(leduc)",1.29300000000001,88.8,129.3,3,500
"500.8...116","subsetByColData","leduc<-filterCol(leduc)",0.890000000000043,-1.30000000000001,29.8,3,500
"500.9...117","subsetByColData","aggregatePSM(leduc)",78.87,79.4,173.7,3,500
"1000.1...118","subsetByColData","leduc<-filterRow(leduc)",2.601,186.6,213.6,1,1000
"1000.2...119","subsetByColData","leduc<-filterCol(leduc)",1.85300000000001,-2.59999999999991,41.5,1,1000
"1000.3...120","subsetByColData","aggregatePSM(leduc)",170.787,159.3,248.1,1,1000
"1000.4...121","subsetByColData","leduc<-filterRow(leduc)",2.62599999999998,186.6,213.6,2,1000
"1000.5...122","subsetByColData","leduc<-filterCol(leduc)",1.87199999999996,-2.59999999999991,41.5,2,1000
"1000.6...123","subsetByColData","aggregatePSM(leduc)",172.635,159.3,239,2,1000
"1000.7...124","subsetByColData","leduc<-filterRow(leduc)",2.61400000000003,186.6,213.6,3,1000
"1000.8...125","subsetByColData","leduc<-filterCol(leduc)",1.85900000000004,-2.59999999999991,41.5,3,1000
"1000.9...126","subsetByColData","aggregatePSM(leduc)",171.344,159.3,249,3,1000
"2000.1...127","subsetByColData","leduc<-filterRow(leduc)",5.44100000000003,374.9,408.3,1,2000
"2000.2...128","subsetByColData","leduc<-filterCol(leduc)",3.93399999999997,-5.19999999999982,65.8000000000002,1,2000
"2000.3...129","subsetByColData","aggregatePSM(leduc)",403.829,312.8,387.5,1,2000
"2000.4...130","subsetByColData","leduc<-filterRow(leduc)",5.46900000000005,374.9,408.3,2,2000
"2000.5...131","subsetByColData","leduc<-filterCol(leduc)",3.94599999999991,-5.19999999999982,65.8000000000002,2,2000
"2000.6...132","subsetByColData","aggregatePSM(leduc)",407.047,312.8,393.8,2,2000
"2000.7...133","subsetByColData","leduc<-filterRow(leduc)",5.44200000000001,374.9,408.3,3,2000
"2000.8...134","subsetByColData","leduc<-filterCol(leduc)",3.95399999999995,-5.19999999999982,65.8000000000002,3,2000
"2000.9...135","subsetByColData","aggregatePSM(leduc)",403.71,312.8,377.3,3,2000
"4000.1...136","subsetByColData","leduc<-filterRow(leduc)",11.6100000000001,754.7,790.3,1,4000
"4000.2...137","subsetByColData","leduc<-filterCol(leduc)",8.34500000000025,-10.5,116.6,1,4000
"4000.3...138","subsetByColData","aggregatePSM(leduc)",1049.826,636.5,709.3,1,4000
"4000.4...139","subsetByColData","leduc<-filterRow(leduc)",11.4970000000003,754.7,790.3,2,4000
"4000.5...140","subsetByColData","leduc<-filterCol(leduc)",8.36200000000008,-10.5,116.6,2,4000
"4000.6...141","subsetByColData","aggregatePSM(leduc)",1052.053,636.5,725.7,2,4000
"4000.7...142","subsetByColData","leduc<-filterRow(leduc)",11.4929999999995,754.7,790.3,3,4000
"4000.8...143","subsetByColData","leduc<-filterCol(leduc)",8.35699999999997,-10.5,116.6,3,4000
"4000.9...144","subsetByColData","aggregatePSM(leduc)",1048.846,636.5,718.5,3,4000
