"","version","Function_Call","Elapsed_Time_sec","Total_RAM_Used_MiB","Peak_RAM_Used_MiB","replicate","subset_size"
"500.6...114","subsetByColData","aggregatePSM(leduc)",10.761,33.3,90.7,2,500
"500.7...115","subsetByColData","leduc<-filterRow(leduc)",0.24199999999999,20.3,38.5,3,500
"500.8...116","subsetByColData","leduc<-filterCol(leduc)",0.462999999999994,-1.29999999999998,23.1,3,500
"500.9...117","subsetByColData","aggregatePSM(leduc)",10.702,33.3,89.1,3,500
"1000.1...118","subsetByColData","leduc<-filterRow(leduc)",0.479000000000013,40.3,76.5,1,1000
"1000.2...119","subsetByColData","leduc<-filterCol(leduc)",0.897999999999968,-2.60000000000002,47.2,1,1000
"1000.3...120","subsetByColData","aggregatePSM(leduc)",24.867,66.5,133.8,1,1000
"1000.4...121","subsetByColData","leduc<-filterRow(leduc)",0.478000000000009,40.3,76.5,2,1000
"1000.5...122","subsetByColData","leduc<-filterCol(leduc)",0.899000000000001,-2.60000000000002,47.2,2,1000
"1000.6...123","subsetByColData","aggregatePSM(leduc)",24.904,66.5,142.2,2,1000
"1000.7...124","subsetByColData","leduc<-filterRow(leduc)",0.481000000000051,40.3,76.5,3,1000
"1000.8...125","subsetByColData","leduc<-filterCol(leduc)",0.899000000000001,-2.60000000000002,47.2,3,1000
"1000.9...126","subsetByColData","aggregatePSM(leduc)",24.879,66.5,126.5,3,1000
"2000.1...127","subsetByColData","leduc<-filterRow(leduc)",0.952999999999975,80.3,152.8,1,2000
"2000.2...128","subsetByColData","leduc<-filterCol(leduc)",1.89400000000001,-5.19999999999999,65.9,1,2000
"2000.3...129","subsetByColData","aggregatePSM(leduc)",63.7049999999999,132.1,217.6,1,2000
"2000.4...130","subsetByColData","leduc<-filterRow(leduc)",0.950000000000045,80.3,152.8,2,2000
"2000.5...131","subsetByColData","leduc<-filterCol(leduc)",1.89499999999998,-5.19999999999999,65.9,2,2000
"2000.6...132","subsetByColData","aggregatePSM(leduc)",62.679,132.1,224.4,2,2000
"2000.7...133","subsetByColData","leduc<-filterRow(leduc)",0.952999999999975,80.3,152.8,3,2000
"2000.8...134","subsetByColData","leduc<-filterCol(leduc)",1.89700000000005,-5.19999999999999,65.9,3,2000
"2000.9...135","subsetByColData","aggregatePSM(leduc)",63.718,132.1,209.1,3,2000
"4000.1...136","subsetByColData","leduc<-filterRow(leduc)",1.89799999999991,161.2,299.9,1,4000
"4000.2...137","subsetByColData","leduc<-filterCol(leduc)",3.87799999999993,-10.4,114.4,1,4000
"4000.3...138","subsetByColData","aggregatePSM(leduc)",170.971,265.2,362.2,1,4000
"4000.4...139","subsetByColData","leduc<-filterRow(leduc)",1.89800000000014,161.2,299.9,2,4000
"4000.5...140","subsetByColData","leduc<-filterCol(leduc)",3.8760000000002,-10.4,114.4,2,4000
"4000.6...141","subsetByColData","aggregatePSM(leduc)",170.901,265.2,362.6,2,4000
"4000.7...142","subsetByColData","leduc<-filterRow(leduc)",1.89800000000014,161.2,299.9,3,4000
"4000.8...143","subsetByColData","leduc<-filterCol(leduc)",3.88399999999979,-10.4,114.4,3,4000
"4000.9...144","subsetByColData","aggregatePSM(leduc)",171.118,265.2,363.2,3,4000
