"","thr","method","basemethod","meas","fullmethod","splitval","NBR","TP","FP","TN","FN","TOT_CALLED","DIFF","NONDIFF","TPR","FDR","satis","method.satis"
"112",0.038,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",906,731,175,6646,6,7558,747,6965,0.978580990629183,0.193156732891832,"no","msqrob2_overallno"
"113",0.038,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",752,724,28,6793,13,7558,747,6965,0.969210174029451,0.0372340425531915,"yes","pseudobulk_overallyes"
"114",0.038,"scp","scp","__padj","scp_overall","overall",806,734,72,6893,13,7712,747,6965,0.982597054886212,0.0893300248138958,"no","scp_overallno"
"115",0.039,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",910,732,178,6643,5,7558,747,6965,0.979919678714859,0.195604395604396,"no","msqrob2_overallno"
"116",0.039,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",752,724,28,6793,13,7558,747,6965,0.969210174029451,0.0372340425531915,"yes","pseudobulk_overallyes"
"117",0.039,"scp","scp","__padj","scp_overall","overall",807,734,73,6892,13,7712,747,6965,0.982597054886212,0.090458488228005,"no","scp_overallno"
"118",0.04,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",912,732,180,6641,5,7558,747,6965,0.979919678714859,0.197368421052632,"no","msqrob2_overallno"
"119",0.04,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",752,724,28,6793,13,7558,747,6965,0.969210174029451,0.0372340425531915,"yes","pseudobulk_overallyes"
"120",0.04,"scp","scp","__padj","scp_overall","overall",810,734,76,6889,13,7712,747,6965,0.982597054886212,0.0938271604938272,"no","scp_overallno"
"121",0.041,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",915,732,183,6638,5,7558,747,6965,0.979919678714859,0.2,"no","msqrob2_overallno"
"122",0.041,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",753,724,29,6792,13,7558,747,6965,0.969210174029451,0.0385126162018592,"yes","pseudobulk_overallyes"
"123",0.041,"scp","scp","__padj","scp_overall","overall",812,734,78,6887,13,7712,747,6965,0.982597054886212,0.0960591133004926,"no","scp_overallno"
"124",0.042,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",916,732,184,6637,5,7558,747,6965,0.979919678714859,0.200873362445415,"no","msqrob2_overallno"
"125",0.042,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",753,724,29,6792,13,7558,747,6965,0.969210174029451,0.0385126162018592,"yes","pseudobulk_overallyes"
"126",0.042,"scp","scp","__padj","scp_overall","overall",814,734,80,6885,13,7712,747,6965,0.982597054886212,0.0982800982800983,"no","scp_overallno"
"127",0.043,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",916,732,184,6637,5,7558,747,6965,0.979919678714859,0.200873362445415,"no","msqrob2_overallno"
"128",0.043,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",753,724,29,6792,13,7558,747,6965,0.969210174029451,0.0385126162018592,"yes","pseudobulk_overallyes"
"129",0.043,"scp","scp","__padj","scp_overall","overall",815,734,81,6884,13,7712,747,6965,0.982597054886212,0.0993865030674847,"no","scp_overallno"
"130",0.044,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",921,732,189,6632,5,7558,747,6965,0.979919678714859,0.205211726384365,"no","msqrob2_overallno"
"131",0.044,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",754,724,30,6791,13,7558,747,6965,0.969210174029451,0.0397877984084881,"yes","pseudobulk_overallyes"
"132",0.044,"scp","scp","__padj","scp_overall","overall",816,734,82,6883,13,7712,747,6965,0.982597054886212,0.100490196078431,"no","scp_overallno"
"133",0.045,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",924,732,192,6629,5,7558,747,6965,0.979919678714859,0.207792207792208,"no","msqrob2_overallno"
"134",0.045,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",754,724,30,6791,13,7558,747,6965,0.969210174029451,0.0397877984084881,"yes","pseudobulk_overallyes"
"135",0.045,"scp","scp","__padj","scp_overall","overall",816,734,82,6883,13,7712,747,6965,0.982597054886212,0.100490196078431,"no","scp_overallno"
"136",0.046,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",926,732,194,6627,5,7558,747,6965,0.979919678714859,0.209503239740821,"no","msqrob2_overallno"
"137",0.046,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",754,724,30,6791,13,7558,747,6965,0.969210174029451,0.0397877984084881,"yes","pseudobulk_overallyes"
"138",0.046,"scp","scp","__padj","scp_overall","overall",816,734,82,6883,13,7712,747,6965,0.982597054886212,0.100490196078431,"no","scp_overallno"
"139",0.047,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",927,732,195,6626,5,7558,747,6965,0.979919678714859,0.210355987055016,"no","msqrob2_overallno"
"140",0.047,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",754,724,30,6791,13,7558,747,6965,0.969210174029451,0.0397877984084881,"yes","pseudobulk_overallyes"
"141",0.047,"scp","scp","__padj","scp_overall","overall",818,735,83,6882,12,7712,747,6965,0.983935742971888,0.101466992665037,"no","scp_overallno"
"142",0.048,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",931,732,199,6622,5,7558,747,6965,0.979919678714859,0.21374865735768,"no","msqrob2_overallno"
"143",0.048,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",754,724,30,6791,13,7558,747,6965,0.969210174029451,0.0397877984084881,"yes","pseudobulk_overallyes"
